Date,Account,Amount,Subcategory,Memo,Property,Description
2017-01-19,20-74-09 60458872,107.57,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1321 LONDON R BGC,,
2017-01-27,20-74-09 40406538,1200.0,STO,TUCK&VALEN HSE%0 P    207409 40406538    STO,,
2017-01-19,20-74-09 60458872,107.57,DIRECTDEP,BEALS ESTATE AGENT    FLAT 4321 LONDON R BGC,,
2017-01-27,20-74-09 40406538,-69.49,PAYMENT,TESCO STORE 2105      ON 26 JAN          BCC,,
2017-01-19,20-74-09 60458872,107.57,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1116-18 ALHAM BGC,,
2017-01-27,20-74-09 40406538,-54.66,PAYMENT,SCHOOLBLAZER LTD      ON 26 JAN          BCC,,
2017-01-20,20-74-09 60458872,-6.45,PAYMENT,POST OFFICE COUNTE    ON 19 JAN          CLP,,
2017-01-27,20-74-09 40406538,-21.0,PAYMENT,SCHOOLBLAZER LTD      ON 26 JAN          BCC,,
2017-01-30,20-74-09 40406538,-24.16,PAYMENT,MARKS&SPENCER PLC     ON 29 JAN          CLP,,
2017-01-23,20-74-09 60458872,-20.61,PAYMENT,BP BEDFORD EXPRESS    ON 20 JAN          CLP,,
2017-01-30,20-74-09 40406538,-15.56,PAYMENT,TESCO STORE 2547      ON 27 JAN          CLP,,
2017-01-23,20-74-09 60458872,-6.98,PAYMENT,NEW COUNTY SERVICE    ON 21 JAN          CLP,,
2017-01-30,20-74-09 40406538,-13.65,PAYMENT,LAKESIDE FISH AND     ON 27 JAN          CLP,,
2017-01-23,20-74-09 60458872,-67.14,PAYMENT,NEW COUNTY SERVICE    ON 21 JAN          BCC,,
2017-01-30,20-74-09 40406538,-10.88,DIRECTDEBIT,H3G                   976046856201260117,,
2017-01-23,20-74-09 60458872,-59.43,PAYMENT,CHIMICHANGA           ON 21 JAN          BCC,,
2017-01-31,20-74-09 40406538,-15.27,PAYMENT,CO-OP GROUP 310252    ON 30 JAN          CLP,,
2017-01-23,20-74-09 60458872,-1.8,PAYMENT,INDIGO PARK SVS UK    ON 21 JAN          BCC,,
2017-01-23,20-74-09 60458872,-165.12,DIRECTDEBIT,BHAM MIDSHIRES        020007882432/46801 DDR,,
2017-01-31,20-74-09 40406538,-5.17,PAYMENT,MCDONALDS             ON 30 JAN          CLP,,
2017-01-31,20-74-09 40406538,-60.22,PAYMENT,TESCO PAY AT PUMP     ON 30 JAN          BCC,,
2017-01-24,20-74-09 60458872,320.7,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1012-14 ALHAM BGC,,
2017-01-24,20-74-09 60458872,-1.89,PAYMENT,NEW COUNTY SERVICE    ON 23 JAN          CLP,,
2017-01-25,20-74-09 60458872,320.71,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1116-18 ALHAM BGC,,
2017-01-25,20-74-09 60458872,320.71,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1321 LONDON R BGC,,
2017-01-25,20-74-09 60458872,107.57,DIRECTDEP,BEALS ESTATE AGENT    FLAT 184-6 ALHAMBR BGC,,
2017-01-25,20-74-09 60458872,96.77,DIRECTDEP,BEALS ESTATE AGENT    FLAT 2321 LONDON R BGC,,
2017-01-25,20-74-09 60458872,-58.94,PAYMENT,ARGOS RETAIL GROUP    ON 24 JAN          BCC,,Wardrobe
2017-01-25,20-74-09 60458872,-519.5,REPEATPMT,G&F VALENTINO         MTUCKER            STO,,
2017-01-26,20-74-09 60458872,473.28,DIRECTDEP,BEALS ESTATE AGENT    FLAT 194-6 ALHAMBR BGC,,
2017-01-26,20-74-09 60458872,-13.65,PAYMENT,TESCO STORES-2087     ON 25 JAN          CLP,,
2017-01-26,20-74-09 60458872,-169.1,PAYMENT,JS ONLINE GROCERY     ON 25 JAN          BCC,,
2017-01-26,20-74-09 60458872,-34.0,PAYMENT,B & Q 1142            ON 25 JAN          BCC,,
2017-01-30,20-74-09 60458872,320.71,DIRECTDEP,BEALS ESTATE AGENT    FLAT 184-6 ALHAMBR BGC,,
2017-01-30,20-74-09 60458872,320.71,DIRECTDEP,BEALS ESTATE AGENT    FLAT 4321 LONDON R BGC,,
2017-01-30,20-74-09 60458872,-39.99,PAYMENT,HOMEBASE LTD 049      ON 28 JAN          BCC,,
2017-01-30,20-74-09 60458872,-116.0,DIRECTDEBIT,BHAM MIDSHIRES        020002731371/28015 DDR,,
2017-01-31,20-74-09 60458872,742.4,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3169 FAWCETT  BGC,,
2017-01-31,20-74-09 60458872,-1872.3,PAYMENT,HMRC SELF ASSESSME    6776465142K        BBP,,
2017-01-31,20-74-09 60458872,-173.9,DIRECTDEBIT,MORTGAGE TRUST        002197389 10198930 DDR,,
2017-01-31,20-74-09 60458872,-180.31,DIRECTDEBIT,MORTGAGE TRUST        002186357 10198930 DDR,,
2017-01-31,20-74-09 60458872,-180.31,DIRECTDEBIT,MORTGAGE TRUST        002186356 10198930 DDR,,
2017-01-31,20-74-09 60458872,-180.31,DIRECTDEBIT,MORTGAGE TRUST        002186317 10198930 DDR,,
2017-01-31,20-74-09 60458872,-61.68,DIRECTDEBIT,EE & T-MOBILE         Q13077400689088202 DDR,,
